sequence	filename
>HGNC=38288&HUGO-Symbol=MIR3164&HUGO-Name=microRNA_3164&LOCI=[chr11:68850634-68850736:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036122&GENOME=hg19	file1052
>HGNC=32704&HUGO-Symbol=SNORD7&HUGO-Name=small_nucleolar_RNA,_C/D_box_7&LOCI=[chr17:33900666-33900782:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003037&GENOME=hg19	file1053
>HGNC=41592&HUGO-Symbol=MIR4768&HUGO-Name=microRNA_4768&LOCI=[chrX:17443994-17444087:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039925&GENOME=hg19	file1050
>NAME=TRNAArgTCG&LOCI=[chr6:26299905-26299977:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA3-ArgTCG&GENOME=hg19	file1051
>HGNC=34315&HUGO-Symbol=SNAR-A12&HUGO-Name=small_ILF3/NF90-associated_RNA_A12&LOCI=[chr19:48448179-48448300:strand=+&chr19:48410935-48411056:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004437&GENOME=hg19&MERGED=[HGNC=34316]	file1058
>HGNC=38190&HUGO-Symbol=MIR3190&HUGO-Name=microRNA_3190&LOCI=[chr19:47730189-47730288:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036158&GENOME=hg19	file588
>HGNC=31875&HUGO-Symbol=MIR382&HUGO-Name=microRNA_382&LOCI=[chr14:101520633-101520728:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029874&GENOME=hg19	file333
>HGNC=35339&HUGO-Symbol=MIR1272&HUGO-Name=microRNA_1272&LOCI=[chr15:65054576-65054724:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031674&GENOME=hg19	file332
>HGNC=23027&HUGO-Symbol=VTRNA3-1P&HUGO-Name=vault_RNA_3-1,_pseudogene&LOCI=[chrX:53489141-53489261:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NG_007501&GENOME=hg19	file331
>HGNC=41678&HUGO-Symbol=MIR4427&HUGO-Name=microRNA_4427&LOCI=[chr1:233759888-233759975:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039625&GENOME=hg19	file239
>HGNC=41660&HUGO-Symbol=MIR4723&HUGO-Name=microRNA_4723&LOCI=[chr17:26687666-26687769:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039875&GENOME=hg19	file337
>HGNC=38900&HUGO-Symbol=MIR3607&HUGO-Name=microRNA_3607&LOCI=[chr5:85916304-85916402:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_037402&GENOME=hg19	file336
>HGNC=31556&HUGO-Symbol=MIR185&HUGO-Name=microRNA_185&LOCI=[chr22:20020652-20020753:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029706&GENOME=hg19	file335
>HGNC=31619&HUGO-Symbol=MIR29B1&HUGO-Name=microRNA_29b-1&LOCI=[chr7:130562208-130562308:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029517&GENOME=hg19	file334
>HGNC=32641&HUGO-Symbol=SNORA48&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_48&LOCI=[chr17:7478021-7478175:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002918&GENOME=hg19	file232
>HGNC=35307&HUGO-Symbol=MIR548F3&HUGO-Name=microRNA_548f-3&LOCI=[chr5:109849520-109849626:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031644&GENOME=hg19	file233
>HGNC=31605&HUGO-Symbol=MIR23A&HUGO-Name=microRNA_23a&LOCI=[chr19:13947391-13947483:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029495&GENOME=hg19	file339
>HGNC=31536&HUGO-Symbol=MIR149&HUGO-Name=microRNA_149&LOCI=[chr2:241395408-241395516:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029702&GENOME=hg19	file338
>HGNC=32560&HUGO-Symbol=SCARNA4&HUGO-Name=small_Cajal_body-specific_RNA_4&LOCI=[chr1:155895739-155895887:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003005&GENOME=hg19	file236
>HGNC=31491&HUGO-Symbol=MIR103A2&HUGO-Name=microRNA_103a-2&LOCI=[chr20:3898131-3898228:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029519&GENOME=hg19	file237
>NAME=TRNAPheGAA&LOCI=[chr11:59333853-59333925:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr11.tRNA13-PheGAA&GENOME=hg19	file234
>HGNC=32707&HUGO-Symbol=SNORD11&HUGO-Name=small_nucleolar_RNA,_C/D_box_11&LOCI=[chr2:203157764-203157867:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003031&GENOME=hg19	file235
>HGNC=31630&HUGO-Symbol=MIR31&HUGO-Name=microRNA_31&LOCI=[chr9:21512104-21512194:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029505&GENOME=hg19	file962
>HGNC=35280&HUGO-Symbol=MIR1287&HUGO-Name=microRNA_1287&LOCI=[chr10:100154965-100155074:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031619&GENOME=hg19	file1007
>HGNC=33134&HUGO-Symbol=MIR671&HUGO-Name=microRNA_671&LOCI=[chr7:150935497-150935634:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030407&GENOME=hg19	file963
>HGNC=37302&HUGO-Symbol=MIR449C&HUGO-Name=microRNA_449c&LOCI=[chr5:54468080-54468191:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031572&GENOME=hg19	file709
>NAME=TRNASerCGA&LOCI=[chr12:56584148-56584229:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr12.tRNA2-SerCGA&GENOME=hg19	file953
>HGNC=32884&HUGO-Symbol=MIR628&HUGO-Name=microRNA_628&LOCI=[chr15:55665128-55665242:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030358&GENOME=hg19	file961
>HGNC=31525&HUGO-Symbol=MIR138-2&HUGO-Name=microRNA_138-2&LOCI=[chr16:56892420-56892523:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029680&GENOME=hg19	file1026
>NAME=TRNASerCGA&LOCI=[chr6:27640229-27640310:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA137-SerCGA&GENOME=hg19	file39
>NAME=TRNACysGCA&LOCI=[chr15:80036997-80037069:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr15.tRNA3-CysGCA&GENOME=hg19	file38
>HGNC=35278&HUGO-Symbol=MIR1285-2&HUGO-Name=microRNA_1285-2&LOCI=[chr2:70480040-70480147:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031617&GENOME=hg19	file31
>HGNC=41766&HUGO-Symbol=MIR3198-2&HUGO-Name=microRNA_3198-2&LOCI=[chr12:54625171-54625270:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039851&GENOME=hg19	file30
>HGNC=10107&HUGO-Symbol=SNORA62&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_62&LOCI=[chr3:39452535-39452708:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002324&GENOME=hg19	file33
>HGNC=31626&HUGO-Symbol=MIR30C1&HUGO-Name=microRNA_30c-1&LOCI=[chr1:41222946-41223054:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029833&GENOME=hg19	file32
>HGNC=10143&HUGO-Symbol=SNORD20&HUGO-Name=small_nucleolar_RNA,_C/D_box_20&LOCI=[chr2:232321145-232321244:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002908&GENOME=hg19	file35
>NAME=TRNAAlaAGC&LOCI=[chr6:28574933-28575004:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA65-AlaAGC&GENOME=hg19	file34
>NAME=TRNAArgTCT&LOCI=[chr9:131102355-131102445:strand=-&chr11:59318767-59318852:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr11.tRNA3-ArgTCT&GENOME=hg19	file37
>NAME=TRNACysGCA&LOCI=[chr7:149344046-149344117:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA17-CysGCA&GENOME=hg19	file36
>HGNC=41572&HUGO-Symbol=MIR4734&HUGO-Name=microRNA_4734&LOCI=[chr17:36858505-36858594:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039887&GENOME=hg19	file526
>NAME=TRNAMetCAT&LOCI=[chr6:26286754-26286825:strand=+&chr6:27300764-27300835:strand=-&chr1:153643726-153643797:strand=+&chr6:27870271-27870342:strand=-&chr17:80452597-80452668:strand=-&chr6:27560600-27560671:strand=-&chr6:26313352-26313423:strand=-&chr6:26330529-26330600:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA2-MetCAT&GENOME=hg19	file527
>NAME=TRNACysGCA&LOCI=[chr7:149292305-149292376:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA19-CysGCA&GENOME=hg19	file524
>NAME=TRNAIleAAT&LOCI=[chr17:8130309-8130382:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA34-IleAAT&GENOME=hg19	file525
>HGNC=31567&HUGO-Symbol=MIR196A1&HUGO-Name=microRNA_196a-1&LOCI=[chr17:46709842-46709931:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029582&GENOME=hg19	file489
>HGNC=32574&HUGO-Symbol=SCARNA17&HUGO-Name=small_Cajal_body-specific_RNA_17&LOCI=[chr18:47340383-47340823:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003003&GENOME=hg19	file488
>HGNC=10114&HUGO-Symbol=SNORD15A&HUGO-Name=small_nucleolar_RNA,_C/D_box_15A&LOCI=[chr11:75111425-75111592:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_000005&GENOME=hg19	file520
>HGNC=32590&HUGO-Symbol=SNORA5C&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_5C&LOCI=[chr7:45144495-45144651:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002991&GENOME=hg19	file521
>NAME=TRNALysTTT&LOCI=[chr11:59327808-59327880:strand=-&chr1:204475655-204475727:strand=+&chr17:8022473-8022545:strand=+&chr6:28918806-28918878:strand=+&chr1:204476158-204476230:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA2-LysTTT&GENOME=hg19	file485
>HGNC=10187&HUGO-Symbol=SNORD47&HUGO-Name=small_nucleolar_RNA,_C/D_box_47&LOCI=[chr1:173833498-173833582:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002746&GENOME=hg19	file484
>HGNC=31613&HUGO-Symbol=MIR27A&HUGO-Name=microRNA_27a&LOCI=[chr19:13947244-13947341:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029501&GENOME=hg19	file487
>HGNC=31651&HUGO-Symbol=MIR99B&HUGO-Name=microRNA_99b&LOCI=[chr19:52195855-52195944:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029843&GENOME=hg19	file486
>HGNC=33136&HUGO-Symbol=MIR767&HUGO-Name=microRNA_767&LOCI=[chrX:151561883-151562011:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030409&GENOME=hg19	file481
>HGNC=32898&HUGO-Symbol=MIR642A&HUGO-Name=microRNA_642a&LOCI=[chr19:46178176-46178292:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030372&GENOME=hg19	file480
>NAME=TRNASerACT&LOCI=[chr6:27261671-27261744:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA41-SerACT&GENOME=hg19	file483
>HGNC=33658&HUGO-Symbol=MIR744&HUGO-Name=microRNA_744&LOCI=[chr17:11985206-11985323:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030613&GENOME=hg19	file482
>NAME=TRNALysTTT&LOCI=[chr14:74055529-74055601:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr14.tRNA12-LysTTT&GENOME=hg19	file550
>NAME=TRNAGlnCTG&LOCI=[chr6:27263212-27263283:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA42-GlnCTG&GENOME=hg19	file968
>NAME=TRNAAspGTC&LOCI=[chr12:98897281-98897352:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr12.tRNA5-AspGTC&GENOME=hg19	file249
>HGNC=38202&HUGO-Symbol=MIR3192&HUGO-Name=microRNA_3192&LOCI=[chr20:18451249-18451345:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036160&GENOME=hg19	file248
>HGNC=32747&HUGO-Symbol=SNORD88A&HUGO-Name=small_nucleolar_RNA,_C/D_box_88A&LOCI=[chr19:51302686-51302802:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003067&GENOME=hg19	file247
>HGNC=41882&HUGO-Symbol=MIR548O2&HUGO-Name=microRNA_548o-2&LOCI=[chr20:37145196-37145285:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039605&GENOME=hg19	file246
>NAME=TRNAValCAC&LOCI=[chr1:17186693-17186765:strand=+&chr1:16874160-16874232:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA3-ValCAC&GENOME=hg19	file245
>NAME=TRNATyrGTA&LOCI=[chr2:27273650-27273738:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr2.tRNA2-TyrGTA&GENOME=hg19	file244
>HGNC=32760&HUGO-Symbol=SNORD97&HUGO-Name=small_nucleolar_RNA,_C/D_box_97&LOCI=[chr11:10823004-10823165:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004403&GENOME=hg19	file243
>HGNC=33685&HUGO-Symbol=MIR941-2&HUGO-Name=microRNA_941-2&LOCI=[chr20:62551187-62551323:strand=+&chr20:62551075-62551211:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030638&GENOME=hg19&MERGED=[HGNC=33687]	file242
>HGNC=10189&HUGO-Symbol=SNORD49A&HUGO-Name=small_nucleolar_RNA,_C/D_box_49A&LOCI=[chr17:16343340-16343430:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002744&GENOME=hg19	file241
>NAME=TRNASerAGA&LOCI=[chr6:27509554-27509635:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA147-SerAGA&GENOME=hg19	file240
>HGNC=35260&HUGO-Symbol=MIR1179&HUGO-Name=microRNA_1179&LOCI=[chr15:89151328-89151438:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031590&GENOME=hg19	file1043
>NAME=TRNAThrCGT&LOCI=[chr6:28615984-28616057:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA121-ThrCGT&GENOME=hg19	file1037
>NAME=TRNAGlyGCC&LOCI=[chr1:161493637-161493707:strand=-&chr2:157257659-157257729:strand=-&chr16:70812942-70813012:strand=-&chr16:70823410-70823480:strand=+&chr6:27870686-27870756:strand=-&chr17:8029064-8029134:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA5-GlyGCC&GENOME=hg19	file1023
>NAME=TRNAIleAAT&LOCI=[chr6:27655967-27656040:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA59-IleAAT&GENOME=hg19	file503
>NAME=TRNAAlaTGC&LOCI=[chr6:28785012-28785083:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA104-AlaTGC&GENOME=hg19	file559
>NAME=TRNASupTTA&LOCI=[chr17:58863593-58863663:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA17-SupTTA&GENOME=hg19	file558
>HGNC=32720&HUGO-Symbol=SNORD45C&HUGO-Name=small_nucleolar_RNA,_C/D_box_45C&LOCI=[chr1:76252747-76252844:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003042&GENOME=hg19	file144
>HGNC=41864&HUGO-Symbol=MIR4449&HUGO-Name=microRNA_4449&LOCI=[chr4:53578839-53578924:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039651&GENOME=hg19	file145
>NAME=TRNALeuAAG&LOCI=[chr6:28956779-28956860:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA78-LeuAAG&GENOME=hg19	file146
>HGNC=35248&HUGO-Symbol=MIR320C1&HUGO-Name=microRNA_320c-1&LOCI=[chr18:19263461-19263568:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031565&GENOME=hg19	file147
>NAME=TRNALysTTT&LOCI=[chr11:59323902-59323974:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr11.tRNA5-LysTTT&GENOME=hg19	file140
>HGNC=38226&HUGO-Symbol=MIR3188&HUGO-Name=microRNA_3188&LOCI=[chr19:18392877-18392981:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036155&GENOME=hg19	file141
>NAME=TRNAValCAC&LOCI=[chr5:180649395-180649467:strand=-&chr5:180529253-180529325:strand=-&chr6:26538282-26538354:strand=+&chr1:161369490-161369562:strand=-&chr5:180524070-180524142:strand=+&chr5:180600650-180600722:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr5.tRNA2-ValCAC&GENOME=hg19	file142
>HGNC=31577&HUGO-Symbol=MIR20A&HUGO-Name=microRNA_20a&LOCI=[chr13:92003309-92003399:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029492&GENOME=hg19	file143
>HGNC=31576&HUGO-Symbol=MIR19B2&HUGO-Name=microRNA_19b-2&LOCI=[chrX:133303691-133303806:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029491&GENOME=hg19	file791
>HGNC=35286&HUGO-Symbol=MIR1293&HUGO-Name=microRNA_1293&LOCI=[chr12:50627915-50628005:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031625&GENOME=hg19	file790
>HGNC=31614&HUGO-Symbol=MIR27B&HUGO-Name=microRNA_27b&LOCI=[chr9:97847717-97847833:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029665&GENOME=hg19	file418
>HGNC=38228&HUGO-Symbol=MIR3202-2&HUGO-Name=microRNA_3202-2&LOCI=[chrX:153246539-153246637:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036175&GENOME=hg19	file419
>HGNC=31622&HUGO-Symbol=MIR301A&HUGO-Name=microRNA_301a&LOCI=[chr17:57228487-57228592:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029842&GENOME=hg19	file148
>HGNC=31544&HUGO-Symbol=MIR15B&HUGO-Name=microRNA_15b&LOCI=[chr3:160122366-160122483:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029663&GENOME=hg19	file149
>HGNC=31634&HUGO-Symbol=MIR33A&HUGO-Name=microRNA_33a&LOCI=[chr22:42296938-42297026:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029507&GENOME=hg19	file797
>NAME=TRNASerCGA&LOCI=[chr6:27177628-27177709:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA35-SerCGA&GENOME=hg19	file796
>HGNC=32342&HUGO-Symbol=MIR486&HUGO-Name=microRNA_486&LOCI=[chr8:41517949-41518036:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030161&GENOME=hg19	file822
>NAME=TRNAArgTCG&LOCI=[chr6:28510891-28510963:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA124-ArgTCG&GENOME=hg19	file867
>HGNC=32805&HUGO-Symbol=MIR550A2&HUGO-Name=microRNA_550a-2&LOCI=[chr7:32772583-32772699:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030320&GENOME=hg19	file935
>NAME=TRNAArgTCT&LOCI=[chr1:94313129-94313213:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA9-ArgTCT&GENOME=hg19	file1002
>HGNC=31507&HUGO-Symbol=MIR125B2&HUGO-Name=microRNA_125b-2&LOCI=[chr21:17962547-17962655:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029694&GENOME=hg19	file934
>HGNC=32140&HUGO-Symbol=MIR505&HUGO-Name=microRNA_505&LOCI=[chrX:139006297-139006400:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030230&GENOME=hg19	file391
>NAME=TRNASerCGA&LOCI=[chr17:8042199-8042280:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA41-SerCGA&GENOME=hg19	file390
>HGNC=38294&HUGO-Symbol=MIR3199-1&HUGO-Name=microRNA_3199-1&LOCI=[chr22:28316503-28316610:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036169&GENOME=hg19	file568
>HGNC=31573&HUGO-Symbol=MIR199B&HUGO-Name=microRNA_199b&LOCI=[chr9:131006990-131007119:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029619&GENOME=hg19	file1032
>NAME=TRNAGluTTC&LOCI=[chr1:17199078-17199149:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA5-GluTTC&GENOME=hg19	file665
>HGNC=38316&HUGO-Symbol=MIR548U&HUGO-Name=microRNA_548u&LOCI=[chr6:57254920-57255020:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036097&GENOME=hg19	file664
>HGNC=38204&HUGO-Symbol=MIR3193&HUGO-Name=microRNA_3193&LOCI=[chr20:30194979-30195053:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036161&GENOME=hg19	file667
>HGNC=31487&HUGO-Symbol=MIR100&HUGO-Name=microRNA_100&LOCI=[chr11:122022927-122023026:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029515&GENOME=hg19	file569
>HGNC=41725&HUGO-Symbol=MIR4450&HUGO-Name=microRNA_4450&LOCI=[chr4:77494711-77494795:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039654&GENOME=hg19	file661
>HGNC=32758&HUGO-Symbol=SNORD96A&HUGO-Name=small_nucleolar_RNA,_C/D_box_96A&LOCI=[chr5:180668808-180668899:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002592&GENOME=hg19	file660
>HGNC=10232&HUGO-Symbol=SNORA71A&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_71A&LOCI=[chr20:37055939-37056096:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002911&GENOME=hg19	file663
