sequence	filename
>HGNC=31881&HUGO-Symbol=MIR424&HUGO-Name=microRNA_424&LOCI=[chrX:133680634-133680751:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029946&GENOME=hg19	file520
>NAME=TRNAGlnTTG&LOCI=[chr6:145503859-145503930:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA84-GlnTTG&GENOME=hg19	file521
>HGNC=31575&HUGO-Symbol=MIR19B1&HUGO-Name=microRNA_19b-1&LOCI=[chr13:92003436-92003542:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029490&GENOME=hg19	file485
>NAME=TRNAGlnTTG&LOCI=[chr6:27763640-27763711:strand=-&chr6:26311424-26311495:strand=-&chr6:26311975-26312046:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA130-GlnTTG&GENOME=hg19	file484
>HGNC=35283&HUGO-Symbol=MIR1290&HUGO-Name=microRNA_1290&LOCI=[chr1:19223555-19223652:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031622&GENOME=hg19	file487
>NAME=TRNAArgTCG&LOCI=[chr15:89878304-89878376:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr15.tRNA4-ArgTCG&GENOME=hg19	file486
>HGNC=32136&HUGO-Symbol=MIR502&HUGO-Name=microRNA_502&LOCI=[chrX:49779196-49779301:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030226&GENOME=hg19	file481
>NAME=TRNAValTAC&LOCI=[chr6:156869046-156869120:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA86-ValTAC&GENOME=hg19	file480
>NAME=TRNALysTTT&LOCI=[chr6:27302769-27302841:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA149-LysTTT&GENOME=hg19	file483
>NAME=TRNAAlaTGC&LOCI=[chr6:28757547-28757618:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA110-AlaTGC&GENOME=hg19	file482
>NAME=TRNASerGCT&LOCI=[chr11:66115591-66115672:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr11.tRNA8-SerGCT&GENOME=hg19	file550
>HGNC=31552&HUGO-Symbol=MIR181C&HUGO-Name=microRNA_181c&LOCI=[chr19:13985503-13985632:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029613&GENOME=hg19	file249
>NAME=TRNAHisGTG&LOCI=[chr1:149155828-149155899:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA106-HisGTG&GENOME=hg19	file248
>HGNC=31644&HUGO-Symbol=MIR92A2&HUGO-Name=microRNA_92a-2&LOCI=[chrX:133303558-133303652:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029509&GENOME=hg19	file247
>HGNC=31486&HUGO-Symbol=MIRLET7I&HUGO-Name=microRNA_let-7i&LOCI=[chr12:62997456-62997559:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029661&GENOME=hg19	file246
>HGNC=10148&HUGO-Symbol=SNORD26&HUGO-Name=small_nucleolar_RNA,_C/D_box_26&LOCI=[chr11:62622754-62622848:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002564&GENOME=hg19	file245
>NAME=TRNACysGCA&LOCI=[chr7:149295046-149295117:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA11-CysGCA&GENOME=hg19	file244
>NAME=TRNALysCTT&LOCI=[chr1:55423542-55423614:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA128-LysCTT&GENOME=hg19	file243
>HGNC=31624&HUGO-Symbol=MIR30A&HUGO-Name=microRNA_30a&LOCI=[chr6:72113244-72113334:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029504&GENOME=hg19	file242
>NAME=TRNACysGCA&LOCI=[chr7:149286164-149286235:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA20-CysGCA&GENOME=hg19	file241
>HGNC=31614&HUGO-Symbol=MIR27B&HUGO-Name=microRNA_27b&LOCI=[chr9:97847717-97847833:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029665&GENOME=hg19	file240
>HGNC=31519&HUGO-Symbol=MIR134&HUGO-Name=microRNA_134&LOCI=[chr14:101521014-101521106:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029698&GENOME=hg19	file503
>NAME=TRNAProAGG&LOCI=[chr14:21081560-21081631:strand=-&chr6:26555498-26555569:strand=+&chr11:75946557-75946628:strand=+&chr16:3239634-3239705:strand=+&chr14:21077495-21077566:strand=-&chr16:3232635-3232706:strand=-&chr7:128423504-128423575:strand=+&chr1:167684725-167684796:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA2-ProAGG&GENOME=hg19	file559
>NAME=TRNAGlnCTG&LOCI=[chr6:27263212-27263283:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA42-GlnCTG&GENOME=hg19	file558
>NAME=TRNAIleAAT&LOCI=[chr6:27636362-27636435:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA57-IleAAT&GENOME=hg19	file144
>HGNC=32734&HUGO-Symbol=SNORD74&HUGO-Name=small_nucleolar_RNA,_C/D_box_74&LOCI=[chr1:173836802-173836893:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002579&GENOME=hg19	file145
>HGNC=32147&HUGO-Symbol=MIR510&HUGO-Name=microRNA_510&LOCI=[chrX:146353843-146353936:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030237&GENOME=hg19	file146
>NAME=TRNAMetCAT&LOCI=[chr6:26701712-26701784:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA21-MetCAT&GENOME=hg19	file147
>NAME=TRNAAspGTC&LOCI=[chr12:98897281-98897352:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr12.tRNA5-AspGTC&GENOME=hg19	file140
>NAME=TRNALysTTT&LOCI=[chr11:122430655-122430727:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr11.tRNA11-LysTTT&GENOME=hg19	file141
>HGNC=10242&HUGO-Symbol=RNY1&HUGO-Name=RNA,_Ro-associated_Y1&LOCI=[chr7:148684219-148684350:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004391&GENOME=hg19	file142
>NAME=TRNALeuCAA&LOCI=[chr6:27570348-27570454:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA141-LeuCAA&GENOME=hg19	file143
>NAME=TRNAValCAC&LOCI=[chr6:27118022-27118094:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA32-ValCAC&GENOME=hg19	file418
>HGNC=31871&HUGO-Symbol=MIR378&HUGO-Name=microRNA_378&LOCI=[chr5:149112378-149112463:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029870&GENOME=hg19	file419
>NAME=TRNAValCAC&LOCI=[chr1:149298555-149298627:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA98-ValCAC&GENOME=hg19	file148
>HGNC=31642&HUGO-Symbol=MIR9-2&HUGO-Name=microRNA_9-2&LOCI=[chr5:87962661-87962767:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030741&GENOME=hg19	file149
>NAME=TRNALeuTAG&LOCI=[chr14:21093529-21093610:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr14.tRNA2-LeuTAG&GENOME=hg19	file391
>NAME=TRNAGlyCCC&LOCI=[chr1:17188416-17188486:strand=+&chr1:16872434-16872504:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA4-GlyCCC&GENOME=hg19	file390
>NAME=TRNAAlaAGC&LOCI=[chr6:26572092-26572164:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA166-AlaAGC&GENOME=hg19	file568
>HGNC=31478&HUGO-Symbol=MIRLET7A3&HUGO-Name=microRNA_let-7a-3&LOCI=[chr22:46508619-46508712:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029478&GENOME=hg19	file569
>NAME=TRNAValCAC&LOCI=[chr6:27173867-27173939:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA157-ValCAC&GENOME=hg19	file408
>HGNC=31634&HUGO-Symbol=MIR33A&HUGO-Name=microRNA_33a&LOCI=[chr22:42296938-42297026:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029507&GENOME=hg19	file466
>NAME=TRNACysGCA&LOCI=[chr7:149074601-149074672:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA22-CysGCA&GENOME=hg19	file465
>NAME=TRNAArgTCG&LOCI=[chr6:26323046-26323118:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA4-ArgTCG&GENOME=hg19	file464
>HGNC=10217&HUGO-Symbol=SNORD60&HUGO-Name=small_nucleolar_RNA,_C/D_box_60&LOCI=[chr16:2205014-2205116:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002736&GENOME=hg19	file463
>NAME=TRNAAlaAGC&LOCI=[chr6:28626014-28626085:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA120-AlaAGC&GENOME=hg19	file462
>HGNC=31586&HUGO-Symbol=MIR21&HUGO-Name=microRNA_21&LOCI=[chr17:57918617-57918708:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029493&GENOME=hg19	file461
>NAME=TRNACysGCA&LOCI=[chr7:149007281-149007352:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA5-CysGCA&GENOME=hg19	file460
>HGNC=32763&HUGO-Symbol=SNORD100&HUGO-Name=small_nucleolar_RNA,_C/D_box_100&LOCI=[chr6:133137931-133138026:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002435&GENOME=hg19	file399
>HGNC=38196&HUGO-Symbol=MIR3158-1&HUGO-Name=microRNA_3158-1&LOCI=[chr10:103361164-103361264:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036114&GENOME=hg19	file469
>HGNC=10158&HUGO-Symbol=SNORD31&HUGO-Name=small_nucleolar_RNA,_C/D_box_31&LOCI=[chr11:62620787-62620877:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002560&GENOME=hg19	file398
>HGNC=33693&HUGO-Symbol=MIR365-2&HUGO-Name=microRNA_365-2&LOCI=[chr17:29902420-29902550:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029856&GENOME=hg19	file560
>NAME=TRNATyrGTA&LOCI=[chr7:149053745-149053820:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA24-TyrGTA&GENOME=hg19	file561
>HGNC=35285&HUGO-Symbol=MIR548K&HUGO-Name=microRNA_548k&LOCI=[chr11:70130051-70130186:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031624&GENOME=hg19	file567
>HGNC=31514&HUGO-Symbol=MIR130A&HUGO-Name=microRNA_130a&LOCI=[chr11:57408661-57408769:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029673&GENOME=hg19	file551
>HGNC=31608&HUGO-Symbol=MIR24-2&HUGO-Name=microRNA_24-2&LOCI=[chr19:13947091-13947183:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029497&GENOME=hg19	file203
>HGNC=41620&HUGO-Symbol=MIR378I&HUGO-Name=microRNA_378i&LOCI=[chr22:42319216-42319311:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039760&GENOME=hg19	file202
>HGNC=31770&HUGO-Symbol=MIR328&HUGO-Name=microRNA_328&LOCI=[chr16:67236214-67236308:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029887&GENOME=hg19	file201
>HGNC=35381&HUGO-Symbol=MIR1537&HUGO-Name=microRNA_1537&LOCI=[chr1:236016290-236016370:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031718&GENOME=hg19	file200
>NAME=TRNAProAGG&LOCI=[chr16:3210386-3210480:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr16.tRNA4-ProAGG&GENOME=hg19	file207
>NAME=TRNAAlaCGC&LOCI=[chr6:26553731-26553802:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA10-AlaCGC&GENOME=hg19	file206
>NAME=TRNATyrGTA&LOCI=[chr6:26569086-26569176:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA14-TyrGTA&GENOME=hg19	file205
>HGNC=35254&HUGO-Symbol=MIR1185-2&HUGO-Name=microRNA_1185-2&LOCI=[chr14:101510525-101510630:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031571&GENOME=hg19	file204
>NAME=TRNALeuCAG&LOCI=[chr1:161418741-161418823:strand=+&chr1:161500132-161500214:strand=-&chr1:161426122-161426204:strand=+&chr1:161440913-161440995:strand=+&chr6:26521436-26521518:strand=+&chr1:161411323-161411405:strand=+&chr1:161433532-161433614:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA7-LeuCAG&GENOME=hg19	file562
>HGNC=33069&HUGO-Symbol=SNORD116-3&HUGO-Name=small_nucleolar_RNA,_C/D_box_116-3&LOCI=[chr15:25318243-25318359:strand=+&chr15:25301996-25302112:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003318&GENOME=hg19&MERGED=[HGNC=33075]	file563
>HGNC=31638&HUGO-Symbol=MIR7-1&HUGO-Name=microRNA_7-1&LOCI=[chr9:86584653-86584782:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029605&GENOME=hg19	file209
>HGNC=31512&HUGO-Symbol=MIR129-1&HUGO-Name=microRNA_129-1&LOCI=[chr7:127847915-127848006:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029596&GENOME=hg19	file208
>NAME=TRNACysGCA&LOCI=[chr1:93981834-93981906:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA127-CysGCA&GENOME=hg19	file566
>HGNC=35276&HUGO-Symbol=MIR548J&HUGO-Name=microRNA_548j&LOCI=[chr22:26951168-26951299:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031615&GENOME=hg19	file238
>NAME=TRNASerTGA&LOCI=[chr6:26312824-26312905:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA172-SerTGA&GENOME=hg19	file564
>HGNC=31607&HUGO-Symbol=MIR24-1&HUGO-Name=microRNA_24-1&LOCI=[chr9:97848293-97848380:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029496&GENOME=hg19	file565
>NAME=TRNAIleAAT&LOCI=[chr17:8130309-8130382:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA34-IleAAT&GENOME=hg19	file330
>HGNC=31616&HUGO-Symbol=MIR29A&HUGO-Name=microRNA_29a&LOCI=[chr7:130561496-130561579:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029503&GENOME=hg19	file368
>HGNC=31582&HUGO-Symbol=MIR204&HUGO-Name=microRNA_204&LOCI=[chr9:73424881-73425010:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029621&GENOME=hg19	file369
>HGNC=32135&HUGO-Symbol=MIR501&HUGO-Name=microRNA_501&LOCI=[chrX:49774320-49774423:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030225&GENOME=hg19	file364
>HGNC=31609&HUGO-Symbol=MIR25&HUGO-Name=microRNA_25&LOCI=[chr7:99691173-99691276:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029498&GENOME=hg19	file365
>NAME=TRNALysCTT&LOCI=[chr16:3246153-3246225:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr16.tRNA13-LysCTT&GENOME=hg19	file366
>HGNC=38279&HUGO-Symbol=MIR3158-2&HUGO-Name=microRNA_3158-2&LOCI=[chr10:103361164-103361264:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036115&GENOME=hg19	file367
>NAME=TRNAGlyCCC&LOCI=[chr2:70476123-70476193:strand=-&chr16:686736-686806:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr2.tRNA27-GlyCCC&GENOME=hg19	file360
>HGNC=31477&HUGO-Symbol=MIRLET7A2&HUGO-Name=microRNA_let-7a-2&LOCI=[chr11:122017220-122017311:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029477&GENOME=hg19	file361
>HGNC=31542&HUGO-Symbol=MIR155&HUGO-Name=microRNA_155&LOCI=[chr21:26946282-26946366:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030784&GENOME=hg19	file362
>NAME=TRNALysTTT&LOCI=[chr6:27559593-27559665:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA143-LysTTT&GENOME=hg19	file363
>HGNC=31505&HUGO-Symbol=MIR125A&HUGO-Name=microRNA_125a&LOCI=[chr19:52196497-52196602:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029693&GENOME=hg19	file40
>NAME=TRNAIleAAT&LOCI=[chr6:26745255-26745328:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA163-IleAAT&GENOME=hg19	file41
>HGNC=35375&HUGO-Symbol=MIR720&HUGO-Name=microRNA_720&LOCI=[chr3:164059119-164059248:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031712&GENOME=hg19	file42
>HGNC=32768&HUGO-Symbol=SNORD104&HUGO-Name=small_nucleolar_RNA,_C/D_box_104&LOCI=[chr17:62223428-62223527:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004380&GENOME=hg19	file43
>HGNC=32082&HUGO-Symbol=MIR493&HUGO-Name=microRNA_493&LOCI=[chr14:101335387-101335495:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030172&GENOME=hg19	file44
>HGNC=32729&HUGO-Symbol=SNORD68&HUGO-Name=small_nucleolar_RNA,_C/D_box_68&LOCI=[chr16:89627828-89627919:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002450&GENOME=hg19	file45
>HGNC=10160&HUGO-Symbol=SNORD33&HUGO-Name=small_nucleolar_RNA,_C/D_box_33&LOCI=[chr19:49993864-49993966:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_000020&GENOME=hg19	file46
>HGNC=31641&HUGO-Symbol=MIR9-1&HUGO-Name=microRNA_9-1&LOCI=[chr1:156390123-156390231:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029691&GENOME=hg19	file47
>NAME=TRNAValCAC&LOCI=[chr19:4724647-4724719:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr19.tRNA13-ValCAC&GENOME=hg19	file48
>HGNC=41785&HUGO-Symbol=MIR378G&HUGO-Name=microRNA_378g&LOCI=[chr1:95211406-95211466:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039620&GENOME=hg19	file49
>HGNC=31620&HUGO-Symbol=MIR29B2&HUGO-Name=microRNA_29b-2&LOCI=[chr1:207975778-207975878:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029518&GENOME=hg19	file230
>NAME=TRNASerGCT&LOCI=[chr6:26305718-26305801:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA175-SerGCT&GENOME=hg19	file231
>HGNC=35253&HUGO-Symbol=MIR1301&HUGO-Name=microRNA_1301&LOCI=[chr2:25551499-25551600:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031570&GENOME=hg19	file108
>HGNC=31599&HUGO-Symbol=MIR22&HUGO-Name=microRNA_22&LOCI=[chr17:1617187-1617291:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029494&GENOME=hg19	file109
>NAME=TRNASerCGA&LOCI=[chr6:27640229-27640310:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA137-SerCGA&GENOME=hg19	file519
>HGNC=35275&HUGO-Symbol=MIR548E&HUGO-Name=microRNA_548e&LOCI=[chr10:112748674-112748781:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031614&GENOME=hg19	file518
>NAME=TRNAAlaTGC&LOCI=[chr12:125424512-125424583:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr12.tRNA8-AlaTGC&GENOME=hg19	file100
